,Sno,MovieName,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
355,356,The Negotiator,F. Gary Gray,,,140,1998,7.3,62
356,357,To Live and Die in L.A.,William Friedkin,,,116,1985,7.3,81
357,358,Crimson Tide,Tony Scott,,,116,1995,7.3,66
358,359,From Russia with Love,Terence Young,,,115,1963,7.3,83
359,360,Invictus,Clint Eastwood,,,134,2009,7.3,74
360,361,Nikita,Luc Besson,,,117,1990,7.3,56
361,362,Shaolin Soccer,Stephen Chow,,,87,2001,7.3,68
362,363,Running Scared,Wayne Kramer,,,122,2006,7.3,41
363,364,The Getaway,Sam Peckinpah,,,123,1972,7.3,55
364,365,Jason and the Argonauts,Don Chaffey,,,104,1963,7.3,69
365,366,Assault on Precinct 13,John Carpenter,,,91,1976,7.3,89
366,367,Red Cliff,John Woo,,,148,2008,7.3,73
367,368,Get Carter,Mike Hodges,,,112,1971,7.3,80
368,369,Bacurau,Juliano Dornelles,Kleber Mendonça Filho,,131,2019,7.3,82
369,370,Ghajini,A.R. Murugadoss,,,186,2008,7.3,
370,371,The Baader Meinhof Complex,Uli Edel,,,150,2008,7.3,76
371,372,Max Manus: Man of War,Joachim Rønning,Espen Sandberg,,118,2008,7.3,60
372,373,Master,Lokesh Kanagaraj,,,178,2021,7.3,
373,374,The Suicide Squad,James Gunn,,,132,2021,7.2,72
374,375,The Hunger Games,Gary Ross,,,142,2012,7.2,68
375,376,The Equalizer,Antoine Fuqua,,,132,2014,7.2,57
376,377,From Dusk Till Dawn,Robert Rodriguez,,,108,1996,7.2,48
377,378,Silverado,Lawrence Kasdan,,,133,1985,7.2,64
378,379,The Patriot,Roland Emmerich,,,165,2000,7.2,63
379,380,Point Break,Kathryn Bigelow,,,122,1991,7.2,59
380,381,21 Jump Street,Phil Lord,Christopher Miller,,109,2012,7.2,69
381,382,Kingdom of Heaven,Ridley Scott,,,144,2005,7.2,63
382,383,Big Trouble in Little China,John Carpenter,,,99,1986,7.2,53
383,384,King Kong,Peter Jackson,,,187,2005,7.2,81
384,385,The Man from U.N.C.L.E.,Guy Ritchie,,,116,2015,7.2,56
385,386,Ronin,John Frankenheimer,,,122,1998,7.2,67
386,387,Rango,Gore Verbinski,,,107,2011,7.2,75
387,388,Natural Born Killers,Oliver Stone,,,119,1994,7.2,74
388,389,They Live,John Carpenter,,,94,1988,7.2,55
389,390,The Matrix Reloaded,Lana Wachowski,Lilly Wachowski,,138,2003,7.2,62
390,391,I Am Legend,Francis Lawrence,,,101,2007,7.2,65
391,392,The Life Aquatic with Steve Zissou,Wes Anderson,,,119,2004,7.2,62
392,393,GoldenEye,Martin Campbell,,,130,1995,7.2,65
393,394,Unbroken,Angelina Jolie,,,137,2014,7.2,59
394,395,Willow,Ron Howard,,,126,1988,7.2,47
395,396,The Croods,Kirk DeMicco,Chris Sanders,,98,2013,7.2,55
396,397,RocknRolla,Guy Ritchie,,,114,2008,7.2,53
397,398,Dr. No,Terence Young,,,110,1962,7.2,78
398,399,Old Henry,Potsy Ponciroli,,,99,2021,7.2,69
399,400,Friday Night Lights,Peter Berg,,,118,2004,7.2,70
400,401,Team America: World Police,Trey Parker,,,98,2004,7.2,64
401,402,Kung Fu Panda 2,Jennifer Yuh Nelson,,,90,2011,7.2,67
402,403,Anthropoid,Sean Ellis,,,120,2016,7.2,59
403,404,Star Trek VI: The Undiscovered Country,Nicholas Meyer,,,110,1991,7.2,65
