,MovieName,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,GrossCollection,Popularity,Certification
79,Kaththi,Joseph Vijay,Samantha Ruth Prabhu,Neil Nitin Mukesh,28349,Action,Drama,,,,Not Rated
80,John Wick: Chapter 4,Keanu Reeves,Laurence Fishburne,George Georgiou,199371,Action,Crime,Thriller,,3,R
81,Guardians of the Galaxy,Chris Pratt,Vin Diesel,Bradley Cooper,1221389,Action,Adventure,Comedy,333.18M,59,PG-13
82,Dune,Timothée Chalamet,Rebecca Ferguson,Zendaya,680986,Action,Adventure,Drama,108.33M,80,PG-13
83,Blade Runner 2049,Harrison Ford,Ryan Gosling,Ana de Armas,605181,Action,Drama,Mystery,92.05M,149,R
84,Deadpool,Ryan Reynolds,Morena Baccarin,T.J. Miller,1069372,Action,Comedy,,363.07M,286,R
85,The Avengers,Robert Downey Jr.,Chris Evans,Scarlett Johansson,1417425,Action,Sci-Fi,,623.28M,392,PG-13
86,Zack Snyder's Justice League,Henry Cavill,Ben Affleck,Gal Gadot,413488,Action,Adventure,Fantasy,,406,R
87,The Incredibles,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,762887,Animation,Action,Adventure,261.44M,685,PG
88,Casino Royale,Daniel Craig,Eva Green,Judi Dench,671537,Action,Adventure,Thriller,167.45M,695,PG-13
89,The Revenant,Leonardo DiCaprio,Tom Hardy,Will Poulter,828770,Action,Adventure,Drama,183.64M,863,R
90,Akira,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,193927,Animation,Action,Drama,0.55M,"1,124",R
91,Kill Bill: Vol. 2,Uma Thurman,David Carradine,Michael Madsen,774689,Action,Crime,Thriller,66.21M,"1,728",R
92,The Bourne Ultimatum,Matt Damon,Edgar Ramírez,Joan Allen,644496,Action,Mystery,Thriller,227.47M,"1,747",PG-13
93,Ip Man,Donnie Yen,Simon Yam,Siu-Wong Fan,228596,Action,Biography,Drama,,"1,807",R
94,Infernal Affairs,Andy Lau,Tony Leung Chiu-wai,Anthony Chau-Sang Wong,127745,Action,Crime,Drama,0.17M,"4,070",R
95,Wolfwalkers,Honor Kneafsey,Eva Whittaker,Sean Bean,35266,Animation,Action,Adventure,,"4,755",PG
96,Baahubali: The Beginning,Prabhas,Rana Daggubati,Anushka Shetty,130111,Action,Drama,,6.74M,,Not Rated
97,Elite Squad,Wagner Moura,André Ramiro,Caio Junqueira,106817,Action,Crime,Drama,0.01M,,R
98,Sanjuro,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,39483,Action,Drama,Thriller,,,Not Rated
99,Haider,Shahid Kapoor,Tabu,Shraddha Kapoor,56124,Action,Crime,Drama,0.90M,,Not Rated
100,Elite Squad 2: The Enemy Within,Wagner Moura,Irandhir Santos,André Ramiro,84773,Action,Crime,Drama,0.10M,,Not Rated
101,Tae Guk Gi: The Brotherhood of War,Jang Dong-Gun,Won Bin,Eun-ju Lee,40383,Action,Drama,War,1.11M,,R
102,Karthikeya 2,Nikhil Siddharth,Anupama Parameswaran,Srinivasa Reddy,63264,Action,Adventure,Fantasy,,,UA
103,Andaz Apna Apna,Aamir Khan,Salman Khan,Raveena Tandon,54227,Action,Comedy,Romance,,,Not Rated
104,Arjun Reddy,Vijay Deverakonda,Shalini Pandey,Jia Sharma,26310,Action,Drama,Romance,,,Not Rated
105,Nefes: Vatan Sagolsun,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,34411,Action,Drama,Thriller,,,
106,1: Nenokkadine,Mahesh Babu,Kriti Sanon,Nassar,45903,Action,Thriller,,,,Not Rated
107,Avatar,Sam Worthington,Zoe Saldana,Sigourney Weaver,1343539,Action,Adventure,Fantasy,760.51M,276,PG-13
108,Iron Man,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,1083744,Action,Adventure,Sci-Fi,318.41M,330,PG-13
109,Thor: Ragnarok,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,777541,Action,Adventure,Comedy,315.06M,671,PG-13
110,Star Trek,Chris Pine,Zachary Quinto,Simon Pegg,610618,Action,Adventure,Sci-Fi,257.73M,696,PG-13
111,Edge of Tomorrow,Tom Cruise,Emily Blunt,Bill Paxton,700063,Action,Adventure,Sci-Fi,100.21M,735,PG-13
112,The Bourne Identity,Franka Potente,Matt Damon,Chris Cooper,559241,Action,Mystery,Thriller,121.66M,910,PG-13
113,X-Men: Days of Future Past,Patrick Stewart,Ian McKellen,Hugh Jackman,725606,Action,Adventure,Sci-Fi,233.92M,"1,047",PG-13
114,Children of Men,Julianne Moore,Clive Owen,Chiwetel Ejiofor,512057,Action,Drama,Sci-Fi,35.55M,"1,145",R
115,The Blues Brothers,John Belushi,Dan Aykroyd,Cab Calloway,206056,Action,Adventure,Comedy,57.23M,"1,432",R
